lat,lon
52.0631198,4.2936113
52.0647195,4.2983667
52.0730435,4.3055517
52.0690305,4.2886936
52.0683706,4.2935173
52.0679364,4.293768
52.0671506,4.2901582
52.0660679,4.2835224
52.0660779,4.2804557
52.0668626,4.2868425
52.0670362,4.277494
52.0786379,4.2903125
52.0861688,4.2791811
52.0846803,4.3000911
52.0840985,4.3041646
52.0847555,4.2993834
52.0846148,4.2992511
52.0843918,4.2993626
52.0819119,4.2931803
52.0818736,4.2930899
52.0847401,4.3030061
52.0848264,4.3029133
52.080455,4.3030212
52.0844874,4.2999797
52.081484,4.2975186
52.0859624,4.2980527
52.0888803,4.3101266
52.0889151,4.3100827
52.0886094,4.3075409
52.0887574,4.3084764
52.0874503,4.3104773
52.0890012,4.3102289
52.0877012,4.3102729
52.0879337,4.3100777
52.089163,4.310232
52.0885804,4.3073341
52.0885127,4.3098707
52.0767969,4.2823029
52.077561,4.2846041
52.0746208,4.2832802
52.0771564,4.2782943
52.0732943,4.2675032
52.066187,4.2528849
52.0797609,4.2712464
52.0678037,4.2551882
52.0675436,4.2545293
52.0673947,4.2541416
52.0922552,4.3038186
52.0544001,4.2805576
52.0505822,4.2724491
52.0529635,4.2874709
52.0531289,4.2883114
52.0667619,4.2456083
52.0620631,4.2698254
52.0483473,4.2362535
52.0528365,4.2329885
52.0901811,4.2796231
52.0810704,4.3195254
52.0809715,4.3193108
52.0779948,4.2849754
52.0786489,4.3177479
52.0861658,4.2993016
52.0811205,4.3023192
52.0856929,4.2977686
52.0813719,4.2924239
52.0853518,4.29594
52.0757645,4.3176117
52.0801316,4.3164066
52.0774421,4.2758664
52.090585,4.2739062
52.0686064,4.3642512
52.0814518,4.3266589
52.0828264,4.2739829
52.0842901,4.3132961
52.0836986,4.3120497
52.0779262,4.3120792
52.0810844,4.289067
52.0813827,4.323897
52.0681384,4.3626913
52.0673316,4.3648977
52.0666729,4.3622945
52.0668666,4.3626191
52.0673843,4.3648281
52.0674255,4.3647958
52.0662435,4.3621966
52.0681525,4.3598585
52.0674519,4.3639042
52.0664186,4.3617738
52.066713,4.3657729
52.0767509,4.3090383
52.0761534,4.3139014
52.0796108,4.3167958
52.0793701,4.3161871
52.079434,4.3163347
52.0759928,4.3141628
52.0484351,4.3321929
52.0485284,4.3323346
52.0561947,4.3370834
52.0553932,4.3338539
52.0559854,4.3356793
52.0559022,4.3369721
52.0829778,4.3314619
52.0812656,4.3155743
52.0811192,4.2984331
52.0713827,4.3211084
52.0732242,4.3186278
52.0788449,4.3367003
52.0790745,4.3364632
52.0866505,4.3131283
52.0852501,4.3131916
52.0858879,4.3116851
52.0847456,4.313697
52.0863896,4.3120961
52.0860688,4.3115778
52.0872624,4.3109572
52.0861474,4.3117922
52.0864826,4.3119904
52.0673487,4.3648744
52.0861344,4.311526
52.0848856,4.3125852
52.0858751,4.31197
52.0855987,4.3121605
52.0855512,4.3122057
52.0844193,4.3138096
52.0843618,4.3137155
52.0835842,4.3308279
52.0865723,4.3369886
52.0905157,4.2745832
52.0943425,4.2769667
52.090042,4.2748024
52.0825223,4.3253585
52.047783,4.276729
52.048256,4.2767157
52.0503453,4.2724659
52.0473939,4.278345
52.050975,4.2912326
52.0909225,4.2728348
52.0880062,4.2774619
52.0878198,4.2772193
52.0996446,4.2986027
52.0991067,4.271512
52.0681498,4.3374971
52.0543433,4.3357838
52.0783248,4.3196097
52.0765787,4.3039998
52.0656018,4.2786387
52.0790608,4.2686801
52.0782463,4.2682977
52.0784171,4.2687887
52.0784402,4.2699313
52.0787996,4.2696282
52.0790532,4.2711271
52.079093,4.2694651
52.0802569,4.2675078
52.0796934,4.2680603
52.0785239,4.3080026
52.0783869,4.2771175
52.092205,4.3038639
52.0817323,4.2829065
52.0787827,4.2780037
52.0764383,4.2795368
52.0897771,4.310408
52.0781316,4.2857328
52.0774059,4.2843548
52.079089,4.2921089
52.0765366,4.3064401
52.0566751,4.2986651
52.0631003,4.3141817
52.0759804,4.3110896
52.0797091,4.3066923
52.0774142,4.308148
52.0785677,4.3081299
52.084612,4.3131598
52.0649543,4.337666
52.0811066,4.2912619
52.0816158,4.2924675
52.0816731,4.2926117
52.0835152,4.2934979
52.0836036,4.2930158
52.0826164,4.2828003
52.0825579,4.2827981
52.0813761,4.2976934
52.0817175,4.2932153
52.0812617,4.2921178
52.0758515,4.2808754
52.0720643,4.2845851
52.0743809,4.2838355
52.0857249,4.2978721
52.08576,4.2973023
52.0855529,4.2972928
52.0851565,4.296017
52.0748751,4.2729171
52.0738217,4.2772663
52.079108,4.2778536
52.0748989,4.2761359
52.0783161,4.3043534
52.0767482,4.2842501
52.0814913,4.3257641
52.0816191,4.3255654
52.0814789,4.3259693
52.0816312,4.3257718
52.0815538,4.325684
52.0816908,4.3256185
52.08175,4.3257477
52.0816965,4.325729
52.0836354,4.300637
52.0833571,4.3008503
52.0824745,4.3004043
52.0823071,4.2999747
52.0824253,4.2997688
52.0813353,4.2917963
52.0802507,4.2892689
52.0824576,4.2775664
52.0801852,4.3032131
52.0746895,4.2722226
52.0761999,4.27078
52.0753009,4.2681908
52.0758748,4.268738
52.0762959,4.269895
52.0790374,4.2747807
52.0743992,4.2923098
52.0707643,4.3218233
52.070946,4.3216333
52.0711704,4.3213287
52.0712431,4.3212532
52.0713217,4.3211731
52.0728004,4.3190967
52.08511,4.278973
52.0855034,4.2790731
52.0847433,4.2797599
52.084508,4.2797574
52.0786936,4.3059026
52.0766803,4.2628286
52.0768715,4.2632728
52.0651667,4.3371173
52.0812338,4.2986342
52.0791574,4.3045947
52.0789036,4.3043069
52.0784354,4.305033
52.0799407,4.3172627
52.0719036,4.2733131
52.0717746,4.2736763
52.0756692,4.3101836
52.0759101,4.309935
52.0774749,4.3104092
52.0810706,4.2959105
52.0815293,4.2927628
52.084046,4.2780905
52.0841406,4.2783453
52.0648488,4.2931185
52.0767278,4.2833591
52.0823415,4.2996078
52.063524,4.3393788
52.0972288,4.2693364
52.0660165,4.3029633
52.0637927,4.3072717
52.0999953,4.2614347
52.0715686,4.320472
52.0711569,4.3195127
52.0720142,4.3247877
52.0716786,4.3242186
52.0729013,4.3105075
52.0747544,4.3184974
52.0845507,4.3139659
52.0845053,4.350783
52.0959267,4.2643679
52.0848373,4.2817004
52.0760891,4.3098969
52.0768287,4.3095363
52.0896191,4.2820176
52.0749093,4.3153898
52.0858366,4.3119771
52.0724899,4.2757797
52.0845649,4.3130449
52.0856915,4.3025788
52.0887191,4.3102464
52.0822597,4.3057036
52.0593439,4.310727
52.0821776,4.313283
52.0804279,4.3180622
52.0838632,4.3186638
52.0744938,4.3005486
52.065798,4.3594691
52.0882634,4.2763992
52.0565498,4.2855192
