lat,lon
52.0784108,4.2928326
52.0481865,4.3251834
52.0949235,4.265475
52.0552063,4.3338552
52.054671,4.3354202
52.0557707,4.3371126
52.0567016,4.3371026
52.0566691,4.3370079
52.0552483,4.3330903
52.0553207,4.3324677
52.0595803,4.3359421
52.0562637,4.3483548
52.0485766,4.3324011
52.0491944,4.333305
52.0765756,4.3175066
52.0761389,4.3144681
52.079856,4.3272016
52.0748292,4.3142697
52.0740235,4.3157097
52.0757507,4.3124468
52.0897577,4.274959
52.0764576,4.3604843
52.0811401,4.3423731
52.0785162,4.3147315
52.0783679,4.3152665
52.0786275,4.315396
52.0799652,4.3165294
52.0667019,4.2450555
52.0787942,4.309511
52.0789787,4.3099113
52.0789113,4.3096186
52.0780632,4.3103667
52.0778619,4.310487
52.0772325,4.3073529
52.0933422,4.3056233
52.0887758,4.3085781
52.0824164,4.3055261
52.0825076,4.305426
52.1007503,4.2641344
52.0885581,4.3072414
52.0881204,4.3099014
52.0885871,4.3419355
52.0791222,4.3044736
52.078565,4.3064616
52.0783347,4.3058947
52.0782967,4.3057041
52.0784549,4.3062881
52.0950294,4.2656231
52.1013898,4.2693523
52.1004033,4.2708292
52.1003256,4.2710175
52.1004223,4.2709973
52.1000949,4.2713463
52.100163,4.2714836
52.0999283,4.2719888
52.0997838,4.2719961
52.0999151,4.2717439
52.095089,4.2657048
52.0947376,4.2652162
52.1019827,4.2682202
52.1014681,4.2691547
52.0791197,4.2695585
52.0982395,4.2703139
52.0947873,4.2658483
52.081519,4.3666064
52.091734,4.3021511
52.0849312,4.3134382
52.0715118,4.3204794
52.0515649,4.3054816
52.0614006,4.277246
52.0794304,4.2827734
52.0809933,4.2835134
52.0816496,4.2835125
52.0809274,4.2838181
52.0818978,4.2885271
52.0809721,4.2864428
52.081986,4.2832379
52.0807427,4.285053
52.0654171,4.2538904
52.0910226,4.2739513
52.08328,4.3045784
52.0483388,4.2360909
52.0590962,4.3106075
52.0784785,4.2776822
52.0659734,4.3609696
52.0728344,4.2927235
52.0727018,4.3246476
52.0735984,4.3157913
52.0914051,4.2706672
52.0923746,4.2749221
52.0956199,4.2611167
52.0881048,4.2766946
52.087221,4.2749004
52.0948748,4.2659603
52.0894221,4.2751328
52.0924783,4.2762218
52.0877989,4.277288
52.0955967,4.2664288
52.0947239,4.2776884
52.0882331,4.2764465
52.0678559,4.3594011
52.0737408,4.3161906
52.0748422,4.3187715
52.0753522,4.320871
52.0824686,4.3247568
52.0817608,4.3257353
52.0749231,4.3449194
52.0686897,4.3661216
52.0686499,4.3660598
52.0674104,4.3639597
52.0977021,4.3112389
52.0918499,4.325151
52.0923878,4.3253168
52.0933877,4.326907
52.0868941,4.3330638
52.08354,4.3307191
52.0837088,4.3309764
52.0830837,4.3304387
52.0838417,4.3312996
52.0875279,4.3352842
52.0831622,4.3305795
52.0832071,4.3306806
52.0837561,4.3306519
52.0851028,4.334439
52.0873152,4.3355064
52.0812686,4.3425552
52.0815812,4.337763
52.0763287,4.3579571
52.0556093,4.332258
52.0670833,4.333794
52.0617477,4.3327638
52.0613176,4.3331662
52.0612628,4.3279012
52.0613782,4.3279666
52.0590258,4.3218495
52.0560635,4.314017
